Map1,Map2,Choice,MapVote,Date,FullPartial,Result,Eliminations,Deaths,Score,Damage,TotalXP,PrimaryWeapon,XPType,DidPlayerVote,GameType,Confirms,Denies,Objectives,ObjectiveKills,Captures,Diffuses,Plants,Detonates,Deposits,Time_Sec,Time_Min
Cartel,Moscow,Cartel,0 to 0,3/6/22,Full,114-250,23,22,3320,621,8950,Groza,10% Boost,No,HC - Hardpoint,,,,10,,,,,,49,0
,,Standoff,,3/7/22,Partial,125-250,6,9,510,168,5074,Groza,10% Boost,No,HC - Hardpoint,,,,2,,,,,,24,0
Deprogram,Collateral Strike,Collateral Strike,1 to 0,3/12/22,Full,250-73,23,13,3505,614,10908,Groza,10% Boost,No,HC - Hardpoint,,,,5,,,,,,0,1
,,Satellite,,3/12/22,Full,250-150,29,18,3435,811,11365,Groza,10% Boost,No,HC - Hardpoint,,,,8,,,,,,42,1
,,Crossroads Strike,,3/12/22,Full,250-130,17,21,3805,466,18691,Groza,Double XP + 10%,No,HC - Hardpoint,,,,2,,,,,,31,1
,,Nuketown '84,,3/12/22,Full,65-58,19,21,3400,505,10703,Groza,10% Boost,No,HC - Kill Confirmed,12,9,21,,,,,,,,
,,Cartel,,3/12/22,Full,46-31,15,7,3480,419,17533,Groza,Double XP + 10%,No,HC - Kill Confirmed,13,4,17,,,,,,,,
,,Garrison,,3/12/22,Partial,54-45,13,9,2455,364,9142,Groza,10% Boost,No,HC - Kill Confirmed,14,1,15,,,,,,,,
Diesel,The Pines,The Pines,3 to 2,3/12/22,Full,41-65,6,17,1105,148,6105,Groza,10% Boost,No,HC - Kill Confirmed,5,4,9,,,,,,,,
,,Collateral Strike,,3/14/22,Partial,42-57,5,22,1475,139,4174,Groza,10% Boost,No,HC - Kill Confirmed,2,8,10,,,,,,,,
Apocalypse,Satellite,Apocalypse,0 to 0,3/14/22,Full,65-45,18,16,2650,504,10502,Groza,10% Boost,No,HC - Kill Confirmed,11,2,13,,,,,,,,
Miami Strike,Satellite,Miami Strike,1 to 1,3/15/22,Full,50-65,18,15,2790,504,9945,Groza,10% Boost,No,HC - Kill Confirmed,12,3,15,,,,,,,,
,,WMD,,3/17/22,Full,100-70,30,15,4395,833,13770,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Amerika,Moscow,Amerika,1 to 1,3/19/22,Full,41-65,9,18,2235,252,9745,Groza,10% Boost,No,HC - Kill Confirmed,6,4,10,,,,,,,,
Hijacked,Express,Hijacked,2 to 1,3/19/22,Full,88-100,10,15,1645,290,5607,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Yamantau,Raid,Raid,5 to 0,3/19/22,Full,68-100,13,17,1995,371,5810,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Drive-In,Nuketown '84,Drive-In,1 to 1,3/19/22,Full,87-100,17,25,2125,470,7476,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
The Pines,Cartel,Cartel,3 to 1,3/19/22,Full,47-69,14,10,1945,391,6914,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Cartel,Diesel,Diesel,3 to 0,3/19/22,Full,100-75,27,18,5710,754,13940,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Crossroads Strike,Amerika,Crossroads Strike,2 to 2,3/19/22,Full,97-100,22,16,4840,596,6319,Groza,10% Boost,No,HC - TDM,,,,,,,,,,,
Drive-In,Yamantau,Drive-In,3 to 0,3/19/22,Full,95-100,19,18,2700,532,15888,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Express,Apocalypse,Express,4 to 2,3/19/22,Full,97-100,12,18,1890,354,12037,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
The Pines,Zoo,The Pines,4 to 2,3/19/22,Full,87-84,15,21,2780,446,11392,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Amerika,Rush,Amerika,3 to 1,3/19/22,Full,97-100,25,17,4365,689,21029,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Moscow,Cartel,Moscow,3 to 1,3/19/22,Full,100-70,26,14,4450,701,22445,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
The Pines,Deprogram,The Pines,1 to 0,3/19/22,Full,100-76,27,15,6110,733,20920,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Diesel,Cartel,Diesel,3 to 1,3/19/22,Full,100-62,18,10,3535,500,15102,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Yamantau,Collateral Strike,Yamantau,2 to 0,3/19/22,Full,100-90,24,22,4795,694,40459,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Moscow,Crossroads Strike,Crossroads Strike,4 to 0,3/19/22,Full,85-100,17,23,2540,390,9823,Groza,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Nuketown '84,Miami Strike,Nuketown '84,4 to 4,3/22/22,Full,93-100,18,19,3635,515,5875,AK-47,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Express,,3/23/22,Partial,100-94,9,11,1045,251,7125,AK-47,10% Boost,No,HC - TDM,,,,,,,,,,,
Amerika,Deprogram,Amerika,2 to 1,3/25/22,Full,100-63,9,17,1615,252,10876,AK-47,10% Boost,No,HC - TDM,,,,,,,,,,,
Drive-In,Raid,Raid,5 to 1,3/27/22,Full,100-91,17,11,3965,418,10830,AK-47,10% Boost,No,HC - TDM,,,,,,,,,,,
The Pines,Collateral Strike,The Pines,3 to 1,3/27/22,Full,250-148,16,20,1720,448,13272,M16,10% Boost,No,HC - Hardpoint,,,,10,,,,,,41,1
Crossroads Strike,Satellite,Crossroads Strike,1 to 0,3/27/22,Full,250-220,26,32,4380,697,11111,M16,10% Boost,No,HC - Hardpoint,,,,12,,,,,,23,2
,,Checkmate,,3/31/22,Partial,63-250,7,6,765,196,3028,M16,10% Boost,No,HC - Hardpoint,,,,3,,,,,,20,0
Diesel,Slums,Slums,3 to 1,3/31/22,Full,250-162,14,25,1905,325,9595,M16,10% Boost,No,HC - Hardpoint,,,,8,,,,,,42,1
Collateral Strike,Yamantau,Yamantau,3 to 2,3/31/22,Full,250-205,15,27,2175,393,9107,M16,10% Boost,No,HC - Hardpoint,,,,4,,,,,,53,1
,,Apocalypse,,4/2/22,Partial,250-161,9,12,1965,229,7816,M16,10% Boost,No,HC - Hardpoint,,,,8,,,,,,5,1
Echelon,Zoo,Zoo,3 to 1,4/2/22,Partial,93-72,20,14,3465,430,9005,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Collateral Strike,,4/2/22,Full,88-100,22,14,4350,604,9227,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Yamantau,,4/2/22,Full,178-200,10,35,2345,287,10035,M16,10% Boost,No,HC - Domination,,,6,1,5,,,,,,
,,Deprogram,,4/2/22,Full,189-200,12,31,1715,325,7317,M16,10% Boost,No,HC - Domination,,,15,10,5,,,,,,
Garrison,Rush,Rush,2 to 0,4/2/22,Full,200-139,12,25,2005,325,8245,M16,10% Boost,No,HC - Domination,,,9,3,6,,,,,,
Hijacked,Deprogram,Hijacked,2 to 1,4/6/22,Full,100-92,20,17,3680,544,12931,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Standoff,,4/7/22,Partial,63-250,2,8,450,57,4993,M16,10% Boost,No,HC - Hardpoint,,,1,14,0,,,,,,
Checkmate,Raid,Raid,3 to 1,4/7/22,Full,204-250,14,33,1745,361,6890,M16,10% Boost,No,HC - Hardpoint,,,8,58,1,,,,,,
Collateral Strike,Deprogram,Collateral Strike,1 to 0,4/24/22,Full,100-88,22,13,3120,615,13493,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Diesel,Standoff,Standoff,2 to 0,4/24/22,Full,100-82,22,10,4745,599,12052,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Zoo,Amerika,Amerika,4 to 2,4/24/22,Full,90-100,18,18,4225,505,15986,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Slums,Crossroads Strike,Slums,2 to 0,4/24/22,Full,63-100,16,17,2540,405,8822,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Garrison,Express,Express,4 to 1,4/24/22,Full,100-89,29,12,7415,811,22623,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Zoo,Yamantau,Zoo,3 to 1,4/24/22,Full,100-61,21,8,4330,534,22964,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Diesel,Miami Strike,Diesel,3 to 0,4/24/22,Full,100-94,8,14,1450,171,16105,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Apocalypse,Collateral Strike,Apocalypse,3 to 3,4/24/22,Full,74-100,11,14,2570,308,12784,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Moscow,WMD,Moscow,2 to 2,4/24/22,Full,73-99,12,17,2430,310,17372,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
,,Miami Strike,,4/26/22,Full,99-100,23,15,6085,620,7611,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Zoo,Express,Zoo,2 to 2,4/26/22,Full,72-100,18,13,3390,492,11484,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Diesel,The Pines,Diesel,3 to 1,4/26/22,Full,98-100,21,18,5060,565,17446,M16,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Nuketown '84,Hijacked,Nuketown '84,2 to 0,4/26/22,Full,74-100,22,20,4240,600,12650,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Slums,Satellite,Slums,5 to 0,4/26/22,Full,100-98,18,16,3660,435,8659,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Cartel,,4/27/22,Full,74-67,18,10,4490,477,15278,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Drive-In,The Pines,The Pines,3 to 1,4/27/22,Full,70-100,4,18,450,88,4714,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Standoff,Miami Strike,Standoff,3 to 1,4/30/22,Full,100-90,11,11,1890,303,6984,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Moscow,Echelon,Moscow,3 to 3,4/30/22,Full,77-80,11,22,1505,308,8532,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Raid,Collateral Strike,Raid,2 to 0,4/30/22,Full,89-93,17,16,3375,476,8594,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Slums,Garrison,Slums,2 to 0,5/5/22,Full,66-100,8,19,1550,224,10923,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Nuketown '84,Yamantau,Nuketown '84,4 to 1,5/5/22,Full,100-96,16,12,3075,447,6827,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Checkmate,Amerika,Amerika,3 to 0,5/7/22,Full,100-87,14,17,2370,359,11089,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Hijacked,Echelon,Hijacked,1 to 0,5/7/22,Full,100-72,26,9,5465,728,11672,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Standoff,,5/7/22,Partial,100-93,12,11,1875,323,8509,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Deprogram,,5/8/22,Full,100-88,12,8,2730,336,7486,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Jungle,Raid,Jungle,4 to 1,5/8/22,Full,82-100,12,18,2280,336,8342,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Diesel,Miami Strike,Diesel,6 to 2,5/9/22,Full,100-69,15,11,2630,404,9897,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Cartel,Deprogram,Cartel,3 to 3,5/11/22,Full,76-77,11,13,1780,305,9234,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
Amerika,Yamantau,Amerika,2 to 0,5/11/22,Full,100-72,18,8,3895,503,10365,M16,10% Boost,No,HC - TDM,,,,,,,,,,,
